taxon,taxon_code,domestic_wild_status,plant_part,family
Isatis spp.,ISATSPE,w,seed/grain,Cruciferae
Juncus sp.,JUNCSPE,W,seed/grain,Juncaceae
Juniperus sp.,JUNISPE,W,nutlets,Cupressaceae
Kochia prostrata,KOCHPRO,w,seed/grain,Chenopodiaceae
Krascheninnikova ceratonia,KRASCER,w,seed/grain,Chenopodiaceae
Lactuca sp.,LACTSPE,w,seed/grain,Asteraceae
Lallemantia sp.,LALLSPE,w,seed/grain,Lamiaceae
Lamiaceae indet.,LABIIND,W,seed/grain,Lamiaceae
Lamium spp.,LAMISPE,w,seed/grain,Labiatae
Lepidium perfoliatum,LEPIPER,w,seed/grain,Cruciferae
Lepidium ruderale,LEPIRUD,w,seed/grain,Cruciferae
Lepidium sp.,LEPISPE,W,seed/grain,Brassicaceae
Liliaceae indeterminate,LILIIND,W,seed/grain,Liliaceae
Lithospermum arvense L.,LITHSPM,W,seed/grain,Boraginaceae
Lithospermum L. sp.,LITHSPE,W,seed/grain,Boraginaceae
Lithospermum officinale L.,LITHOFF,W,seed/grain,Boraginaceae
Lycium spp.,LYCISPE,w,seed/grain,Solanaceae
Lycopus sp.,LYCOSPE,W,seed/grain,Lamiaceae
Malcomia spp.,MALCSPE,w,seed/grain,Cruciferae
"Maloideae (e.g., incl. Malus, Pyrus, Sorbus, Cydonia, etc.]",MALOIDE,w,seed/grain,Maloideae
Malva nicaeensis,MALVNIC,W,seed/grain,Malvaceae
Malva parviflora L.,MALVPAR,W,seed/grain,Malvaceae
Malva sp.,MALVSPE,W,seeds and fruit,Malvaceae
Malva sp.,MALVSPE,W,seed/grain,Malvaceae
Malva sylvestris/nicaensis,MALSYNI,W,seed/grain,Malvaceae
Malvaceae indet.,MALVIND,W,seed/grain,Malvaceae
Matricaria sp. L.,MATRSPE,W,seed/grain,Asteraceae
Mesembryanthemum nodiflorum,MESENOD,w,seed/grain,Aizoaceae
Micromeria sp.,MICRSPE,W,seed/grain,Lamiaceae
Minuartia rubella,MINURUB,w,seed/grain,Caryophyllaceae
Minuartia sp.,MINUSPE,w,seed/grain,Caryophyllaceae
Moltkia coerulea,MOLTCOE,w,seed/grain,Boraginaceae
Moraceae indeterminate,MORAIND,w,seed/grain,Moraceae
Muscari longipes,MUSCLON,W,seed/grain,Liliaceae
Muscari sp.,MUSCSPE,W,seed/grain,Liliaceae
Nepeta sp.,NEPESPE,W,seed/grain,Lamiaceae
Neslia paniculata,NESLPAN,W,seed/grain,Brassicaceae
Neslia paniculata/apiculata,NESPAAP,w,seed/grain,Brassicaceae
Neslia sp.,NESLSPE,W,seed/grain,Brassicaceae
Nigella sp.,NIGESPE,w,seed/grain,Ranunculaceae
Nitraria schoberi,NITRSCH,w,seed/grain,Zygophyllaceae
Noaea mucronata,NOAEMUC,W,seed/grain,Chenopodiaceae
Noaea sp.,NOAESPE,W,seed/grain,Chenopodiaceae
Notobasis syriaca,NOTOSYR,w,achene,Compositae
Ononis serrata,ONONSER,w,seed/grain,Leguminosae
Onopordum sp. L.,ONOPSPE,W,seed/grain,Asteraceae
Onosma albo-roseum,ONOSALB,w,seed/grain,Boraginaceae
Ornithogalum sp.,ORNISPE,W,seed/grain,Liliaceae
Papaver argemone L.,PAPAARG,W,seed/grain,Papaveraceae
Papaver dubium/rhoeas,PAPDURH,w,seed/grain,Papaveraceae
Papaver glaucum,PAPAGLA,w,seed/grain,Papaveraceae
Papaver somniferum L.,PAPASOM,D,seed/grain,Papaveraceae
Papaver sp.,PAPASPE,W,seed/grain,Papaveraceae
Papaveraceae indeterminate,PAPAIND,W,seed/grain,Papaveraceae
Peganum harmala L.,PEGAHAR,W,seed/grain,Zygophyllaceae
Phlomis spp.,PHLOSPE,w,seed/grain,Labiatae
Pimpinella spp.,PIMPSPE,w,seed/grain,Umbelliferae
Plantago coronopus,PLANCOR,w,spikes,Plantaginaceae
Plantago lagopus L.,PLANLAG,W,seed/grain,Plantaginaceae
Plantago lanceolata,PLANLAN,w,seed/grain,Plantaginaceae
Plantago major,PLANMAJ,w,seed/grain,Plantaginaceae
Plantago ovata,PLANOVA,w,seed/grain,Plantaginaceae
Plantago psyllium,PLANPSY,W,seed/grain,Plantaginaceae
Plantago sp.,PLANSPE,W,seed/grain,Plantaginaceae
Plantago squarrosa,PLANSQU,w,seed/grain,Plantaginaceae
Portulaca oleracea L.,PORTOLE,D,seed/grain,Portulacaceae
Portulaca sp.,PORTSPE,W,seed/grain,Portulacaceae
Potamogeton pectinatus,POTAPEC,w,fruitlet,Potamogetonaceae
Potamogeton sp.,POTASPE,W,seed/grain,Potamogetonaceae
Potamogeton sp.,POTASPE,W,fruitlet,Potamogetonaceae
Potentilla sp.,POSPEUC,W,seed/grain,Rosaceae
Potentilla sp.,POTESPE,W,seed/grain,Rosaceae
Primulaceae indeterminate,PRIMIND,W,seed/grain,Primulaceae
Ranunculus acris,RANUACR,w,seed/grain,Ranunculaceae
Ranunculus arvensis L.,RANUARV,W,seed/grain,Ranunculaceae
Ranunculus ficaria,RANUFIC,w,seed/grain,Ranunculaceae
Ranunculus sceleratus,RANUSCE,w,seed/grain,Ranunculaceae
Ranunculus sp.,RANUSPE,W,achene,Ranunculaceae
Ranunculus sp.,RANUSPE,W,seed/grain,Ranunculaceae
Reboudia pinnata,REBOPIN,W,seed/grain,Brassicaceae
Reseda lutea L.,RESELUT,W,seed/grain,Resedaceae
Reseda sp.,RESESPE,W,seed/grain,Resedaceae
Rhus coriaria,RHUSCOR,W,seed/grain,Anacardiaceae
Rubiaceae indeterminate,RUBIIND,W,seed/grain,Rubiaceae
Rubus sanctus,RUBUSCT,W,seed/grain,Rosaceae
Rubus sanguineus,RUBUSAN,W,seed/grain,Rosaceae
Rubus sp.,RUBUSPE,W,seed/grain,Rosaceae
Ruppia cirrhosa/maritima,RUPCIMA,w,fruit,Ruppiaceae
Salsola sp.,SALSSPE,W,embryo,Chenopodiaceae
Salsola sp.,SALSSPE,W,seed/grain,Chenopodiaceae
Salvia cryptantha,SALVCRY,w,seed/grain,Labiatae
Saponaria spp.,SAPOSPE,w,seed/grain,Caryophyllaceae
Schoenoplectus sp.,SCHOSPE,W,seed/grain,Cyperaceae
Schoenus nigricans L.,SCHONIG,W,seed/grain,Cyperaceae
Scleranthus sp.,SCLESPE,W,seed/grain,Illecebraceae
Scrophularia sp.,SCROSPE,W,seed/grain,Scrophulariaceae
Scrophularia sp.,SCROSPE,W,capsule valves,Scrophulariaceae
Scrophulariaceae indeterminate,SCROIND,W,seed/grain,Scrophulariaceae
Sherardia arvensis L.,SHERARV,W,seed/grain,Rubiaceae
Sherardia sp.,SHERSPE,W,seed/grain,Rubiaceae
Silene aegyptiaca,SILEAEG,w,seed/grain,Caryophyllaceae
Silene arabica,SILEARA,w,seed/grain,Caryophyllaceae
Silene colorata,SILECOL,w,seed/grain,Caryophyllaceae
Silene sp.,SILESPE,W,seed/grain,Caryophyllaceae
Silene trinervis,SILETRI,w,seed/grain,Caryophyllaceae
Silene/Gyposphila,SILEGYP,w,seed/grain,aryophyllaceae
Silene/Stellaria sp.,SILESTE,w,seed/grain,Caryophyllaceae
Solanaceae indeterminate,SOLAIND,W,seed/grain,Solanaceae
Solanum dulcamara,SOLADUL,w,seed/grain,Solanaceae
Solanum nigrum L.,SOLANIG,W,seed/grain,Solanaceae
Solanum sp.,SOLASPE,W,seed/grain,Solanaceae
Sophora spp.,SOPHSPE,w,seed/grain,Leguminosae
Spergularia arvensis,SPERARV,w,seed/grain,Caryophyllaceae
Spergularia sp.,SPERSPE,W,seed/grain,Caryophyllaceae
Stachys sp.,STACSPE,W,seed/grain,Lamiaceae
Stellaria sp.,STELSPE,W,seed/grain,Caryophyllaceae
Suaeda fruticosa,SUAEFRU,w,seed/grain,Chenopodiaceae
Suaeda maritima,SUAEMAR,W,seed/grain,Chenopodiaceae
Suaeda palaestina,SUAEPAL,w,seed/grain,Chenopodiaceae
Suaeda sp.,SUAESPE,W,seed/grain,Chenopodiaceae
Teucrium botrys,TEUCBOT,W,seed/grain,Lamiaceae
Teucrium sp.,TEUCSPE,W,seed/grain,Lamiaceae
Teucrium/Ajuga sp.,TEUCAJU,W,seed/grain,Lamiaceae
Texiera glastifolia,TEXIGLA,w,seed/grain,Cruciferae
Thymelaea hirsuta (L.) Endl.,THYMHIR,W,nutlets,Thymelaeaceae
Thymelaea passerina (L.) Cosson & Germ.,THYMPAS,W,seed/grain,Thymelaeaceae
Thymelaea sp.,THYMSPE,W,seed/grain,Thymelaeaceae
Thymelaeaceae indeterminate,THYMIND,w,seed/grain,Thymelaeaceae
Torilis nodosa,TORINOD,w,seed/grain,Umbelliferae
Torilis type,TORITYP,W,seed/grain,Apiaceae
Torularia torulosa,TORUTOR,W,seed/grain,Brassicaceae
Tragopogon spp.,TRANSPE,w,seed/grain,Asteraceae
Tribulus terrestris L.,TRIBTER,W,seed/grain,Zygophyllaceae
Urtica urens L.,URTIURE,W,seed/grain,Urticaceae
Vaccaria pyramidata Medik.,VACCPYR,W,seed/grain,Caryophyllaceae
Vaccaria sp.,VACCSPE,W,seed/grain,Caryophyllaceae
Valerianella coronata (L.) DC.,VALECOR,W,seed/grain,Valerianaceae
Valerianella dentata (L.) Pollich,VALEDEN,W,seed/grain,Valerianaceae
Valerianella sp. Miller,VALESPE,W,seed/grain,Valerianaceae
Verbascum sp.,VERBSPE,W,seed/grain,Scrophulariaceae
Verbena officinalis L.,VEREOFF,W,seed/grain,Verbenaceae
Verbena sp.,VERESPE,W,seed/grain,Verbenaceae
Veronica persica type,VEROPET,W,seed/grain,Scrophulariaceae
Vicieae,VICIEAE,W,seed/grain,Fabaceae
Viola sp.,VIOLSPE,W,seed/grain,Violaceae
Vitex agnus-castus L.,VITEAGN,W,seed/grain,Verbenaceae
Ziziphora sp.,ZIZISPE,W,seed/grain,Lamiaceae
Ziziphora tenuior L.,ZIZITEN,w,seed/grain,Lamiaceae
Zoegea leptaurea,ZOEGLEP,w,seed/grain,Asteraceae
Zygophyllum fabago,ZYGOFAB,shrub,seed/grain,Zygophyllaceae
small-seeded indet,INDETES,w,seed/grain,-
indeterminata,INDETER,W,presence,-
indeterminata,INDETER,W,seed/grain /bud,-
indeterminata,INDETER,W,seed/grain,-
indeterminata wild,INDETWI,W,seed/grain,-
indeterminate fruit,INDETFR,w,seed/grain,-
indeterminate fruit,INDETRH,w,fruit,-
indeterminate fruit,INDETFR,w,fruit,-
indeterminate nut fragments,INDETNT,w,fragments,-
indeterminate nut fragments,INDETNT,w,seed/grain,-
indeterminate nut fragments,INDETNT,w,nutshell,-
