site,country,region,Latitude,Longitude,Georef rank,Abot sampling,dating,Phase,start date,end date,Median age,-,-,-,-,-,-,-,-,-,-,-,-,references
Erbaba,Turkey,CA,37.77,31.68,2,3,C14,PN,-7100,-5800,-6450,Tm,Td,Hv,-,Le,-,Pis,Vic,-,-,-,-6450,van Zeist and Buitenhuis 1983
Feyda,Syria,N,36.564806,40.483925,2,1,C14,LPPNB,-7042,-6378,-6710,-,Td,Hv,-,Le,-,-,-,-,-,-,-6710,McCorriston and Weisberg 2002
Fistikli Hoyuk,Turkey,LN,37.058207,37.885417,1,3,AMS,Halaf,-5900,-5680,-5790,Tm,Td,Hv,-,-,-,-,-,Vicf,La,-,-5790,Bernbeck and Pollck 2003
Ganj Dareh,Iran,E,34.45,48.116667,2,3,C14,MPPNB,-8240,-7840,-8040,-,-,Hv,-,Le,-,-,-,-,-,-,-8040,van Zeist et al. 1986
Gilgal I,Israel  ,LS,32.03277778,35.47568889,2,2,AMS,PPNA,-9550,-9100,-9325,-,?Td,Hv,-,-,-,-,-,-,-,-,-9325,Kislev et al. 2006; Kislev et al. 2004a; Weiss et al. 2006
Girikihaciyan (Gerikihaciyan - Ekinciyan),Turkey,N,38.145189,39.989696,3,2,?C14,Halaf,-5300,-5000,-5150,Tm,Td,-,-,Le,Ci,-,Ve,-,-,Linu,-5150,Watson and Lablanc 1990
Gobekli Tepe,Turkey,N,37.142234,38.541423,3,1,C14,PPNA,-9200,-8600,-8900,Tm,-,Hv,-,Le,-,-,-,-,-,-,-8900,Neef 2003
Hacilar,Turkey,CA,37.57,30.07,1,1,ass,LPPNB,-6500,-6050,-6275,Tm,Td,Hv,-,Le,-,-,?Vic,-,-,-,-6275,Helbaek 1970
Hacilar,Turkey,CA,37.57,30.07,1,1,ass,PN ,-5700,-5600,-5650,Tm,Td,Hv,-,Le,Ci,Pis,Ve,-,Ls,-,-5650,Helbaek 1970
Hajji Firuz,Iran,E,36.994394,45.474393,2,2,C14,Neolithic,-6250,-5650,-5950,-,Td,?Hv,-,Le,-,-,-,-,-,-,-5950,Voigt 1983; dating from Maeda et al. 2016
Halaf,Syria,N,36.826472,40.039758,3,1,C14,LPPNB,-6692,-6424,-6558,-,Td,Hv,-,Le,-,-,-,-,-,-,-6558,McCorriston and Weisberg 2002
Hallan Cemi,Turkey,N,38.23333333,41.25,2,3,C14,PPNA,-9670,-9300,-9485,-,-,-,-,-,-,?Pis,?Vic,-,?La,-,-9485,Savard 2005
Hasankeyf Höyük,Turkey,N,37.710354,41.42493,2,2,C14,PPNA,-9660,-9220,-9440,-,-,-,-,?Le,-,-,Vic,Vicf,-,-,-9440,Miyake et al 2012
Hayonim Cave,Israel  ,LS,32.93,35.18,1,2,ass,Epipal   ,-,-,-11700,-,-,wHv,wild,-,-,?wPis,-,-,-,-,-11700,Hopf and Bar-Yosef 1987
Höyücek,Turkey,CA,37.45,30.58,2,2,C14,Neolithic,-6500,-4200,-5350,Tm,Td,Hv,-,Le,Ci,Pis,Ve,-,La,-,-5350,Martinoli and Nesbitt 2003
Ilipinar,Turkey,CA,40.45000076,29.29999924,2,3,C14,Neolithic,-6030,-5800,-5915,Tm  ,Td,Hv,-,Le,Ci ,Pis,Vic,-,La,Linu,-5915,van Zeist and Waterbolk-van Rooijen 1995
Iraq ed-Dubb,Jordan,LS,32.32,35.67,2,3,C14,PPNA,-9660,-8800,-9230,?Tm,?Td,Hv,-,Le,-,-,-,?Vicf,-,-,-9230,Colledge 2001
Jarmo,Iraq,E,35.548889,44.950278,3,1,ass,Late PPNB/Pneo,-8000,-6600,-7300,Tm,Td,Hv,-,Le,-,Pis,-,-,-,-,-7300,Helbaek 1960; Fuller Lucas & Gonzalez Carretero unpublished
Jarmo,Iraq,E,35.548889,44.950278,3,3,ass,PPNB,-7500,-7000,-7250,?Tm,Td,Hv,-,Le,-,Pis,Vic,Vicf,La,Linu,-7250,Helbaek 1960; Fuller Lucas & Gonzalez Carretero unpublished
Jebel Abu Thawwb (Er-Rumman),Jordan,LS,32.178583,35.852186,2,3,ass,Pottery Neolithic,-6000,-5000,-5500,?Tm,Td,Hv,-,Le,-,Pis,-,-,-,-,-5500,Neef 2001
Jerf el Ahmar,Syria,LN,36.4,38.22,2,3,C14,PPNA,-9450,-8700,-9075,Tm,-,Hv,Sec,Le,-,?Pis,Vic,-,-,-,-9075,Willcox et al. 2008; 2009; Willcox and Strodeur 2012
Jericho  (PPNA),Palestinian Territories,LS,31.85,35.45,2,1,C14,PPNA,-9150,-8300,-8725,Tm,Td,Hv,-,Le,Ci,-,-,-,-,-,-8725,Hopf 1983
Jericho (PN),Palestinian Territories,LS,31.85,35.43,2,1,C14,PN,-7000,-5000,-6000,Tm,Td,Hv,-,Le,-,-,-,-,-,-,-6000,Hopf 1983
Jericho (PN),Palestinian Territories,LS,31.85,35.43,2,1,C14,PN,-7000,-5000,-6000,Tm,Td,Hv,-,Le,-,-,-,-,-,-,-6000,Hopf 1983
Jericho (PPNB),Palestinian Territories,LS,31.85,35.45,2,1,C14,PPNB,-8200,-7500,-7850,Tm,Td,Hv,-,Le,Ci,Pis,-,-,-,Linu,-7850,Hopf 1983
Kalavasos Tenta (5-1),Cyprus,Cy,34.752581,33.303209,3,3,ass,MPPNB,-8000,-7500,-7750,Tm Tm2 ,Td,Hv,-,Le,-,Pis,-,-,-,-,-7750,Hansen 2005
Kashkashok II,Syria,N,36.614197,40.660165,2,2,C14,PNeo,-6430,-6220,-6325,-,Td,Hv,-,Le,-,-,-,-,-,-,-6325,McCorriston and Weisberg 2002
Khirokitia,Cyprus,Cy,34.795514,33.344138,2,3,C14,LPPNB,-6400,-6100,-6250,Tm,Td,Hv,-,Le,-,Pis,?Vic,?Vicf,-,-,-6250,Hansen 1989; 1994; Waines and Staney-Price 1977
Klimonas,Cyprus,Cy,34.738467,33.153309,3,1i,C14,PPNA,-9120,-8630,-8875,-,Td,Hv,-,-,-,-,-,-,-,-,-8875,Vigne et al. 2011
Körtik Tepe,Turkey,N,37.81441667,40.98389444,3,3,AMS,PPNA,-9680,-9320,-9500,-,-,Hv,Sec,-,-,-,-,-,-,-,-9500,Riehl et al. 2012
Kosak Shamali,Syria,LN,36.52999878,38.25,1,3,C14,Chalcolithic,-6450,-4800,-5625,-,Td,Hv,-,Le,-,Pis,-,-,-,Linu,-5625,Willcox 2003
M'lefaat,Iraq,N,36.3,43.53,1,2,C14,PPNA,-9500,-8800,-9150,?Tm,?Td,Hv,-,Le,-,-,Vic,-,-,-,-9150,Nesbitt 1998; Savard et al. 2006
Mureybet I-III,Syria,LN,36.02,38.15,1,3,C14,PPNA,-9700,-8500,-9100,Tm,-,Hv,wSec,Le,-,Pis,-,-,-,Linu,-9100,van Zeist 1970; van Zeist and Bakker-Heeres 1986a
Mureybet IV,Syria,LN,36.02,38.15,1,3,C14,Early PPNB,-8750,-7950,-8350,Tm,-,Hv,-,Le,-,Pis,-,-,-,-,-8350,Willcox 2008; Willcox and Fornite 1999
Mylouthkia (IA),Cyprus,Cy,34.833,32.383,2,3,C14,EPPNB,-8700,-8200,-8450,Tm,Td,Hv,-,Le,-,-,Vic,-,-,Linu,-8450,Murray 2003; Colledge 2003
Nahal Hemar,Israel  ,LS,31.14166667,35.37222222,3,3,C14,PPNB,-8000,-7050,-7525,-,Td,Hv,-,Le,-,-,-,-,La,Linu,-7525,Bar-Yosef 1985; Kislev 1988.
Nahal Zehora II,Israel  ,LS,32.616026,35.098316,3,2,C14,Pottery Neolithic,-6250,-5850,-6050,-,Td,Hv,-,Le,-,-,-,Vicf,-,Linu,-6050,Kislev and Hartmann 2012
Nahal Zehora II,Israel  ,LS,32.616026,35.098316,3,2,ass,PN,-5900,-5000,-5450,-,Td,Hv,-,Le,-,-,-,Vicf,-,-,-5450,Kislev and Hartmann 2012
Nemrik 9,Iraq,N,36.71666667,42.85,2,2,C14,PPNA,-9900,-8200,-9050,-,-,-,-,Le,-,Pis,-,-,-,-,-9050,Charles 2007; Nesbitt 1992
Netiv Hagdud,Israel  ,LS,31.98333333,35.45,2,3,AMS,PPNA,-9310,-8850,-9080,-,wTd,wHv,-,Le,-,-,Vic,-,-,-,-9080,Kislev 1997; Kislev et al. 2004; Melamed et al. 2008
Nevali Cori,Turkey,N,37.58,38.65,1,2,C14,PPNB,-8600,-7950,-8275,Tm,Td,Hv,-,Le,?Ci,Pis,Vic,Vicf,La,-,-8275,Pasternak 1998; Tanno and Willcox 2006a; Willcox et 2008
Qermez Dere,Iraq,N,36.372372,42.418336,3,2,C14,PPNA,-10100,-8800,-9450,-,-,wHv,-,Le,-,-,Vic,-,-,-,-9450,Savard et al. 2006
Ramad,Syria,LS,33.429237,36.090871,2,3,C14,Late PPNB,-7300,-7040,-7170,Tm,Td,Hv,-,Le,Ci,Pis,Vic,-,-,Linu,-7170,van Zeist and Bakker-Heeres 1985 [1982].
