variant	canon	group	genus	family	category	founder_crop	edibility	grass_type	legume_type	wood
cf. Capparis sp.	Capparis sp.	Capparis spp. (incl. spinosa)	Capparis	Capparaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Chenopodiaceae/Capparis	Capparis sp.	Capparis spp. (incl. spinosa)	Capparis	Capparaceae	NA	NA		NA	NA	NA
Capparis spinosa	Capparis spinosa	Capparis spp. (incl. spinosa)	Capparis	Capparaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Capparis spinosa L.	Capparis spinosa	Capparis spp. (incl. spinosa)	Capparis	Capparaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Capparis spinosa var. aegyptiaca	Capparis spinosa	Capparis spp. (incl. spinosa)	Capparis	Capparaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Capsella bursa-pastoris	Capsella bursa-pastoris	Capsella spp. (incl. bursa-pastoris)	Capsella	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Capsella	Capsella sp.	Capsella spp. (incl. bursa-pastoris)	Capsella	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carduus australis	Carduus australis	Carduus australis	Carduus	Asteraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carex divisa	Carex divisa	Carex spp. (incl. divisa, divulsa)	Carex	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carex divisa Hudson	Carex divisa	Carex spp. (incl. divisa, divulsa)	Carex	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carex divulsa Stokes	Carex divulsa	Carex spp. (incl. divisa, divulsa)	Carex	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carex	Carex sp.	Carex spp. (incl. divisa, divulsa)	Carex	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carex sp.	Carex sp.	Carex spp. (incl. divisa, divulsa)	Carex	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carex sp. mineralized	Carex sp.	Carex spp. (incl. divisa, divulsa)	Carex	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
cf. Carex sp.	Carex sp.	Carex spp. (incl. divisa, divulsa)	Carex	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carrichtera annua	Carrichtera annua	Carrichtera annua	Carrichtera	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carrichtera annua (L.) Asch.	Carrichtera annua	Carrichtera annua	Carrichtera	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carthamus creticus type	Carthamus creticus	Carthamus spp. (incl. creticus, tenuis)	Carthamus	Asteraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carthamus	Carthamus sp.	Carthamus spp. (incl. creticus, tenuis)	Carthamus	Asteraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carthamus sp. L.	Carthamus sp.	Carthamus spp. (incl. creticus, tenuis)	Carthamus	Asteraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Carthamus tenuis	Carthamus tenuis	Carthamus spp. (incl. creticus, tenuis)	Carthamus	Asteraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Caylusea hexagyna	Caylusea hexagyna	Caylusea hexagyna	Caylusea	Resedaceae	Wild plants	NA		NA	NA	NA
Cedrus libani wood	Cedrus libani	Cedrus libani	Cedrus	Pinaceae	Fruits/nuts	NA		NA	NA	TRUE
Celtis australis L.	Celtis australis	Celtis spp. (incl. australis, tournefortii)	Celtis	Cannabaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Celtis	Celtis sp.	Celtis spp. (incl. australis, tournefortii)	Celtis	Cannabaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Celtis sp.	Celtis sp.	Celtis spp. (incl. australis, tournefortii)	Celtis	Cannabaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Celtis tournefortii	Celtis tournefortii	Celtis spp. (incl. australis, tournefortii)	Celtis	Cannabaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Centaurea pallescens	Centaurea pallescens	Centaurea spp. (incl. pallescens)	Centaurea	Asteraceae	Wild plants	NA	flowers, stems	NA	NA	NA
Centaurea	Centaurea sp.	Centaurea spp. (incl. pallescens)	Centaurea	Asteraceae	Wild plants	NA	flowers, stems	NA	NA	NA
Centaurea ammocyanus/pallescens	Centaurea sp.	Centaurea spp. (incl. pallescens)	Centaurea	Asteraceae	Wild plants	NA	flowers, stems	NA	NA	NA
Centaurea sp. L.	Centaurea sp.	Centaurea spp. (incl. pallescens)	Centaurea	Asteraceae	Wild plants	NA	flowers, stems	NA	NA	NA
Centaurea sp. L. uncarbonized	Centaurea sp.	Centaurea spp. (incl. pallescens)	Centaurea	Asteraceae	Wild plants	NA	flowers, stems	NA	NA	NA
Cephalaria	Cephalaria sp.	Cephalaria spp. (incl. syriaca)	Cephalaria	Caprifoliaceae	Wild plants	NA		NA	NA	NA
Cephalaria syriaca	Cephalaria syriaca	Cephalaria spp. (incl. syriaca)	Cephalaria	Caprifoliaceae	Wild plants	NA		NA	NA	NA
Cephalaria syriaca (L.) Schrader	Cephalaria syriaca	Cephalaria spp. (incl. syriaca)	Cephalaria	Caprifoliaceae	Wild plants	NA		NA	NA	NA
Cerastium	Cerastium sp.	Cerastium sp.	Cerastium	Caryophyllaceae	Wild plants	NA		NA	NA	NA
Ceratocephalus sp.	Ceratocephalus sp.	Ceratocephalus sp.	Ceratocephalus	Ranunculaceae	Wild plants	NA		NA	NA	NA
Ceratonia siliqua	Ceratonia siliqua	Ceratonia siliqua	Ceratonia	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Ceruana pratensis	Ceruana pratensis	Ceruana pratensis	Ceruana	Asteraceae	Wild plants	NA		NA	NA	NA
Chara sp.	Chara sp.	Chara sp.	Chara	Characeae	Wild plants	NA		NA	NA	NA
Chenopodium album	Chenopodium album	Chenopodium spp. (incl. album, glaucum, murale, rubrum)	Chenopodium	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Chenopodium album L.	Chenopodium album	Chenopodium spp. (incl. album, glaucum, murale, rubrum)	Chenopodium	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Chenopodium album L. uncarbonized	Chenopodium album	Chenopodium spp. (incl. album, glaucum, murale, rubrum)	Chenopodium	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Chenopodium glaucum	Chenopodium glaucum	Chenopodium spp. (incl. album, glaucum, murale, rubrum)	Chenopodium	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Chenopodium cf. murale L.	Chenopodium murale	Chenopodium spp. (incl. album, glaucum, murale, rubrum)	Chenopodium	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Chenopodium murale L.	Chenopodium murale	Chenopodium spp. (incl. album, glaucum, murale, rubrum)	Chenopodium	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Chenopodium rubrum	Chenopodium rubrum	Chenopodium spp. (incl. album, glaucum, murale, rubrum)	Chenopodium	Chenopodiaceae	Wild plants	NA		NA	NA	NA
cf. Chenopodium sp.	Chenopodium sp.	Chenopodium spp. (incl. album, glaucum, murale, rubrum)	Chenopodium	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Chenopodium	Chenopodium sp.	Chenopodium spp. (incl. album, glaucum, murale, rubrum)	Chenopodium	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Chenopodium rubrum/glaucum uncarbonized	Chenopodium sp.	Chenopodium spp. (incl. album, glaucum, murale, rubrum)	Chenopodium	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Chenopodium sp.	Chenopodium sp.	Chenopodium spp. (incl. album, glaucum, murale, rubrum)	Chenopodium	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Chloris sp.	Chloris sp.	Chloris sp.	Chloris	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Chrozophora	Chrozophora sp.	Chrozophora sp.	Chrozophora	Euphorbiaceae	Wild plants	NA		NA	NA	NA
Chrysanthemum coronarium	Chrysanthemum coronarium	Chrysanthemum spp. (incl. coronarium)	Chrysanthemum	Asteraceae	Wild plants	NA	stems	NA	NA	NA
Chrysanthemum sp.	Chrysanthemum sp.	Chrysanthemum spp. (incl. coronarium)	Chrysanthemum	Asteraceae	Wild plants	NA		NA	NA	NA
Cicer arietinum	Cicer arietinum	Cicer spp. (incl. arietinum)	Cicer	Fabaceae	Pulses	chickpea	Edible seed/fruit	NA	Large/medium-seeded	NA
Cicer arietinum L.	Cicer arietinum	Cicer spp. (incl. arietinum)	Cicer	Fabaceae	Pulses	chickpea	Edible seed/fruit	NA	Large/medium-seeded	NA
Cicer	Cicer sp.	Cicer spp. (incl. arietinum)	Cicer	Fabaceae	Pulses	chickpea	Edible seed/fruit	NA	Large/medium-seeded	NA
Cicer arietinum reticulatum/arietinum	Cicer sp.	Cicer spp. (incl. arietinum)	Cicer	Fabaceae	Pulses	chickpea	Edible seed/fruit	NA	Large/medium-seeded	NA
Citrullus colocynthis	Citrullus colocynthis	Citrullus colocynthis	Citrullus	Cucurbitaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Citrullus colocynthis (L.) Schrader in Linnaea	Citrullus colocynthis	Citrullus colocynthis	Citrullus	Cucurbitaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cladium mariscus	Cladium mariscus	Cladium mariscus	Cladium	Araceae	Wild plants	NA		NA	NA	NA
Cladium mariscus (L.) Pohl	Cladium mariscus	Cladium mariscus	Cladium	Araceae	Wild plants	NA		NA	NA	NA
Clematis	Clematis sp.	Clematis sp.	Clematis	Ranunculaceae	Wild plants	NA		NA	NA	NA
Cleome chrysantha	Cleome chrysantha	Cleome spp. (incl. chrysantha, ornithopodioides)	Cleome	Capparaceae	Wild plants	NA		NA	NA	NA
Cleome ornithopodioides	Cleome ornithopodioides	Cleome spp. (incl. chrysantha, ornithopodioides)	Cleome	Capparaceae	Wild plants	NA		NA	NA	NA
Cleome	Cleome sp.	Cleome spp. (incl. chrysantha, ornithopodioides)	Cleome	Capparaceae	Wild plants	NA		NA	NA	NA
Colutea	Colutea sp.	Colutea sp.	Colutea	Fabaceae	Pulses	NA		NA	Large/medium-seeded	NA
Convolvulus arvensis	Convolvulus arvensis	Convolvulus spp. (incl. arvensis)	Convolvulus	Convolvulaceae	Wild plants	NA		NA	NA	NA
Convolvulus	Convolvulus sp.	Convolvulus spp. (incl. arvensis)	Convolvulus	Convolvulaceae	Wild plants	NA		NA	NA	NA
Convolvulus sp. L.	Convolvulus sp.	Convolvulus spp. (incl. arvensis)	Convolvulus	Convolvulaceae	Wild plants	NA		NA	NA	NA
Cordia sinensis	Cordia sinensis	Cordia sinensis	Cordia	Boraginaceae	Wild plants	NA		NA	NA	NA
Coriandrum sativum	Coriandrum sativum	Coriandrum sativum	Coriandrum	Apiaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cornulaca monacantha	Cornulaca monacantha	Cornulaca monacantha	Cornulaca	Amaranthaceae	Wild plants	NA	NA	NA	NA	NA
Cornus mas	Cornus mas	Cornus mas	Cornus	Cornaceae	Wild plants	NA		NA	NA	NA
Cornus mas L.	Cornus mas	Cornus mas	Cornus	Cornaceae	Wild plants	NA		NA	NA	NA
Coronilla	Coronilla sp.	Coronilla sp.	Coronilla	Fabaceae	Pulses	NA		NA	Small-seeded	NA
Coronilla sp.	Coronilla sp.	Coronilla sp.	Coronilla	Fabaceae	Pulses	NA		NA	Small-seeded	NA
Corydalis	Corydalis sp.	Corydalis sp.	Corydalis	Papaveraceae	Wild plants	NA		NA	NA	NA
Corydalis sp.	Corydalis sp.	Corydalis sp.	Corydalis	Papaveraceae	Wild plants	NA		NA	NA	NA
Corylus avellana	Corylus avellana	Corylus avellana	Corylus	Betulaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Cotula anthemoides	Cotula anthemoides	Cotula spp. (incl. anthemoides)	Cotula	Asteraceae	Wild plants	NA		NA	NA	NA
Cotula type	Cotula sp.	Cotula spp. (incl. anthemoides)	Cotula	Asteraceae	Wild plants	NA		NA	NA	NA
Crataegus azarolus	Crataegus azarolus	Crataegus spp. (incl. azarolus, monogyna)	Crataegus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Crataegus monogyna Jacq.	Crataegus monogyna	Crataegus spp. (incl. azarolus, monogyna)	Crataegus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Crataegus	Crataegus sp.	Crataegus spp. (incl. azarolus, monogyna)	Crataegus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Crataegus sp. L.	Crataegus sp.	Crataegus spp. (incl. azarolus, monogyna)	Crataegus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Crepis	Crepis sp.	Crepis sp.	Crepis	Asteraceae	Wild plants	NA		NA	NA	NA
Crithopis deliliana	Crithopsis delileana	Crithopsis delileana	Crithopis	Poaceae	Grasses	NA		Small/medium-seeded	NA	NA
Crucianella	Crucianella sp.	Crucianella sp.	Crucianella	Rubiaceae	Wild plants	NA		NA	NA	NA
Crupina crupinastrum	Crupina crupinastrum	Crupina crupinastrum	Crupina	Asteraceae	Wild plants	NA		NA	NA	NA
Crypis alopecuroides (Piller & Mitterp.) Schrader	Crypsis alopecuroides	Crypsis spp. (incl. alopecuroides, schoenoides)	Crypsis	Poaceae	Grasses	NA		Small-seeded	NA	NA
Crypis schoenoides (L.) Lam.	Crypsis alopecuroides	Crypsis spp. (incl. alopecuroides, schoenoides)	Crypsis	Poaceae	Grasses	NA		Small-seeded	NA	NA
Crypsis	Crypsis sp.	Crypsis spp. (incl. alopecuroides, schoenoides)	Crypsis	Poaceae	Grasses	NA		Small-seeded	NA	NA
Crypsis sp.	Crypsis sp.	Crypsis spp. (incl. alopecuroides, schoenoides)	Crypsis	Poaceae	Grasses	NA		Small-seeded	NA	NA
Cucumis melo dessicated	Cucumis melo	Cucumis spp. (incl. melo)	Cucumis	Cucurbitaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cucumis melo L.	Cucumis melo	Cucumis spp. (incl. melo)	Cucumis	Cucurbitaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cucumis sp. uncarbonized	Cucumis sp.	Cucumis spp. (incl. melo)	Cucumis	Cucurbitaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cuminum cyminum	Cuminum cyminum	Cuminum cyminum	Cuminum	Apiaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cupressus sempervirens	Cupressus sempervirens	Cupressus sempervirens	Cupressus	Cupressaceae	Fruits/nuts	NA		NA	NA	NA
Cuscuta	Cuscuta sp.	Cuscuta sp.	Cuscuta	Cuscutaceae	Wild plants	NA		NA	NA	NA
Cutandia dichotoma	Cutandia dichotoma	Cutandia spp. (incl. dichotoma, memphitica)	Cutandia	Poaceae	Grasses	NA		Small-seeded	NA	NA
Cutandia memphitica	Cutandia memphitica	Cutandia spp. (incl. dichotoma, memphitica)	Cutandia	Poaceae	Grasses	NA		Small-seeded	NA	NA
Cutandia	Cutandia sp.	Cutandia spp. (incl. dichotoma, memphitica)	Cutandia	Poaceae	Grasses	NA		Small-seeded	NA	NA
Cynodon dactylon (L.) Pers.	Cynodon dactylon	Cynodon spp. (incl. dactylon)	Cynodon	Poaceae	Grasses	NA		Small-seeded	NA	NA
Cynodon	Cynodon sp.	Cynodon spp. (incl. dactylon)	Cynodon	Poaceae	Grasses	NA		Small-seeded	NA	NA
Cyperus articulatus	Cyperus articulatus	Cyperus spp. (incl. articulatus, aucheri, papyrus, rotundus)	Cyperus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cyperus aucheri	Cyperus aucheri	Cyperus spp. (incl. articulatus, aucheri, papyrus, rotundus)	Cyperus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cyperus papyrus wood	Cyperus papyrus	Cyperus spp. (incl. articulatus, aucheri, papyrus, rotundus)	Cyperus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	TRUE
Cyperus rotundus L.	Cyperus rotundus	Cyperus spp. (incl. articulatus, aucheri, papyrus, rotundus)	Cyperus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cyperus	Cyperus sp.	Cyperus spp. (incl. articulatus, aucheri, papyrus, rotundus)	Cyperus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cyperus sp.	Cyperus sp.	Cyperus spp. (incl. articulatus, aucheri, papyrus, rotundus)	Cyperus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Cyperus sp. uncarbonized	Cyperus sp.	Cyperus spp. (incl. articulatus, aucheri, papyrus, rotundus)	Cyperus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Dactylis glomerata	Dactylis glomerata	Dactylis glomerata	Dactylis	Poaceae	Grasses	NA		Small-seeded	NA	NA
Datura	Datura sp.	Datura sp.	Datura	Solanaceae	Wild plants	NA		NA	NA	NA
Descurainia	Descurainia sp.	Descurainia sp.	Descurainia	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Dianthus	Dianthus sp.	Dianthus sp.	Dianthus	Caryophillaceae	Wild plants	NA		NA	NA	NA
Digitaria sanguinalis (L.) Scop.	Digitaria sanguinalis	Digitaria sanguinalis	Digitaria	Poaceae	Grasses	NA		Small-seeded	NA	NA
Draba	Draba sp.	Draba sp.	Draba	Brassicaceae	Wild plants	NA		NA	NA	NA
cf. Echinaria sp.	Echinaria sp.	Echinaria sp.	Echinaria	Poaceae	Grasses	NA		Small-seeded	NA	NA
Echinaria	Echinaria sp.	Echinaria sp.	Echinaria	Poaceae	Grasses	NA		Small-seeded	NA	NA
Echinaria spp.	Echinaria sp.	Echinaria sp.	Echinaria	Poaceae	Grasses	NA		Small-seeded	NA	NA
Echinochloa colonum (L.) Link	Echinochloa colonum	Echinochloa spp. (colonum, crus-galli)	Echinochloa	Poaceae	Grasses	NA		Small-seeded	NA	NA
Echinochloa crus-galli	Echinochloa crus-galli	Echinochloa spp. (colonum, crus-galli)	Echinochloa	Poaceae	Grasses	NA		Small-seeded	NA	NA
Echinochloa sp.	Echinochloa sp.	Echinochloa spp. (colonum, crus-galli)	Echinochloa	Poaceae	Grasses	NA		Small-seeded	NA	NA
Echinops sp. L.	Echinochloa sp.	Echinochloa spp. (colonum, crus-galli)	Echinochloa	Poaceae	Grasses	NA		Small-seeded	NA	NA
Echium	Echium sp.	Echium sp.	Echium	Boraginaceae	Wild plants	NA		NA	NA	NA
Echium L. sp.	Echium sp.	Echium sp.	Echium	Boraginaceae	Wild plants	NA		NA	NA	NA
cf. Eleocharis sp.	Eleocharis sp.	Eleocharis sp.	Eleocharis	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Eleocharis	Eleocharis sp.	Eleocharis sp.	Eleocharis	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Eleocharis sp.	Eleocharis sp.	Eleocharis sp.	Eleocharis	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Eleocharis sp. (mineralized)	Eleocharis sp.	Eleocharis sp.	Eleocharis	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Elymus	Elymus sp.	Elymus sp.	Elymus	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Equisetum	Equisetum sp.	Equisetum sp.	Equisetum	Equisetaceae	Wild plants	NA		NA	NA	NA
Eragrostis barrelieri	Eragrostis barrelieri	Eragrostis spp. (incl. barrelieri)	Eragrostis	Poaceae	Grasses	NA		Small-seeded	NA	NA
Eragrostis	Eragrostis sp.	Eragrostis spp. (incl. barrelieri)	Eragrostis	Poaceae	Grasses	NA		Small-seeded	NA	NA
Eragrostis sp.	Eragrostis sp.	Eragrostis spp. (incl. barrelieri)	Eragrostis	Poaceae	Grasses	NA		Small-seeded	NA	NA
Eremopyrum bonaepartis	Eremopyrum bonaepartis	Eremopyrum spp. (incl. bonaepartis)	Eremopyrum	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Eremopyrum	Eremopyrum sp.	Eremopyrum spp. (incl. bonaepartis)	Eremopyrum	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Eremopyrum sp.	Eremopyrum sp.	Eremopyrum spp. (incl. bonaepartis)	Eremopyrum	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Erodium ciconium	Erodium ciconium	Erodium spp. (incl. ciconium, gruinum)	Erodium	Geraniaceae	Wild plants	NA		NA	NA	NA
Erodium gruinum	Erodium gruinum	Erodium spp. (incl. ciconium, gruinum)	Erodium	Geraniaceae	Wild plants	NA		NA	NA	NA
Erodium	Erodium sp.	Erodium spp. (incl. ciconium, gruinum)	Erodium	Geraniaceae	Wild plants	NA		NA	NA	NA
Erodium sp.	Erodium sp.	Erodium spp. (incl. ciconium, gruinum)	Erodium	Geraniaceae	Wild plants	NA		NA	NA	NA
Erucaria hispanica/boveana	Erucaria sp.	Erucaria sp.	Erucaria	Brassicaceae	Wild plants	NA		NA	NA	NA
Erucaria microcapa/rostrata	Erucaria sp.	Erucaria sp.	Erucaria	Brassicaceae	Wild plants	NA		NA	NA	NA
Euclidium	Euclidium sp.	Euclidium spp. (incl. syriacum)	Euclidium	Brassicaceae	Wild plants	NA		NA	NA	NA
Euclidium spp.	Euclidium sp.	Euclidium spp. (incl. syriacum)	Euclidium	Brassicaceae	Wild plants	NA		NA	NA	NA
Euclidium syriacum	Euclidium syriacum	Euclidium spp. (incl. syriacum)	Euclidium	Brassicaceae	Wild plants	NA		NA	NA	NA
Euclidium syriacum (L.) R.	Euclidium syriacum	Euclidium spp. (incl. syriacum)	Euclidium	Brassicaceae	Wild plants	NA		NA	NA	NA
Euphorbia falcata L.	Euphorbia falcata	Euphorbia spp. (incl. falcata, helioscopia, peplus)	Euphorbia	Euphorbiaceae	Wild plants	NA		NA	NA	NA
Euphorbia helioscopia L.	Euphorbia helioscopia	Euphorbia spp. (incl. falcata, helioscopia, peplus)	Euphorbia	Euphorbiaceae	Wild plants	NA		NA	NA	NA
Euphorbia peplus L.	Euphorbia peplus	Euphorbia spp. (incl. falcata, helioscopia, peplus)	Euphorbia	Euphorbiaceae	Wild plants	NA		NA	NA	NA
Euphorbia	Euphorbia sp.	Euphorbia spp. (incl. falcata, helioscopia, peplus)	Euphorbia	Euphorbiaceae	Wild plants	NA		NA	NA	NA
Euphorbia sp.	Euphorbia sp.	Euphorbia spp. (incl. falcata, helioscopia, peplus)	Euphorbia	Euphorbiaceae	Wild plants	NA		NA	NA	NA
Festuca type	Festuca sp.	Festuca sp.	Festuca	Poaceae	Grasses	NA		Small-seeded	NA	NA
Ficus carica	Ficus carica	Ficus spp. (incl. carica)	Ficus	Moraceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Ficus carica L.	Ficus carica	Ficus spp. (incl. carica)	Ficus	Moraceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Ficus carica L., uncarbonized	Ficus carica	Ficus spp. (incl. carica)	Ficus	Moraceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Ficus	Ficus sp.	Ficus spp. (incl. carica)	Ficus	Moraceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Ficus sp.	Ficus sp.	Ficus spp. (incl. carica)	Ficus	Moraceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Fimbristylis bisumbellata (Forsskål) Bubani	Fimbristylis bisumbellata	Fimbristylis spp. (incl. bisumbellata)	Fimbristylis	Cyperaceae	Wild plants	NA		NA	NA	NA
Fimbristylis type	Fimbristylis sp.	Fimbristylis spp. (incl. bisumbellata)	Fimbristylis	Cyperaceae	Wild plants	NA		NA	NA	NA
cf. Fragaria sp. (mineralized)	Fragaria sp.	Fragaria sp.	Fragaria	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Frankenia hirsuta/revoluta	Frankenia sp.	Frankenia sp.	Frankenia	Frankeniaceae	Wild plants	NA		NA	NA	NA
Fraxinus sp. wood	Fraxinus sp.	Fraxinus sp.	Fraxinus	Oleaceae	Fruits/nuts	NA		NA	NA	TRUE
Fumaria densiflora	Fumaria densiflora	Fumaria spp. (incl. densiflora, officinalis, parviflora)	Fumaria	Papaveraceae	Wild plants	NA		NA	NA	NA
Fumaria officinalis L. type	Fumaria officinalis	Fumaria spp. (incl. densiflora, officinalis, parviflora)	Fumaria	Papaveraceae	Wild plants	NA		NA	NA	NA
Fumaria parviflora	Fumaria parviflora	Fumaria spp. (incl. densiflora, officinalis, parviflora)	Fumaria	Papaveraceae	Wild plants	NA		NA	NA	NA
Fumaria	Fumaria sp.	Fumaria spp. (incl. densiflora, officinalis, parviflora)	Fumaria	Papaveraceae	Wild plants	NA		NA	NA	NA
Fumaria parviflora/densiflora	Fumaria sp.	Fumaria spp. (incl. densiflora, officinalis, parviflora)	Fumaria	Papaveraceae	Wild plants	NA		NA	NA	NA
Fumaria sp.	Fumaria sp.	Fumaria spp. (incl. densiflora, officinalis, parviflora)	Fumaria	Papaveraceae	Wild plants	NA		NA	NA	NA
Fumaria sp. uncarbonized	Fumaria sp.	Fumaria spp. (incl. densiflora, officinalis, parviflora)	Fumaria	Papaveraceae	Wild plants	NA		NA	NA	NA
Galium aparine L.	Galium aparine	Galium spp. (incl. aparine, mollugo, spurium, tricornotum, verrucosum)	Galium	Rubiaceae	Wild plants	NA		NA	NA	NA
Galium mollugo	Galium mollugo	Galium spp. (incl. aparine, mollugo, spurium, tricornotum, verrucosum)	Galium	Rubiaceae	Wild plants	NA		NA	NA	NA
Galium	Galium sp.	Galium spp. (incl. aparine, mollugo, spurium, tricornotum, verrucosum)	Galium	Rubiaceae	Wild plants	NA		NA	NA	NA
Galium sp.	Galium sp.	Galium spp. (incl. aparine, mollugo, spurium, tricornotum, verrucosum)	Galium	Rubiaceae	Wild plants	NA		NA	NA	NA
Galium spurium L.	Galium spurium	Galium spp. (incl. aparine, mollugo, spurium, tricornotum, verrucosum)	Galium	Rubiaceae	Wild plants	NA		NA	NA	NA
Galium tricornutum	Galium tricornutum	Galium spp. (incl. aparine, mollugo, spurium, tricornotum, verrucosum)	Galium	Rubiaceae	Wild plants	NA		NA	NA	NA
Galium tricornutum Dandy	Galium tricornutum	Galium spp. (incl. aparine, mollugo, spurium, tricornotum, verrucosum)	Galium	Rubiaceae	Wild plants	NA		NA	NA	NA
Galium verrucosum Hudson	Galium verrucosum	Galium spp. (incl. aparine, mollugo, spurium, tricornotum, verrucosum)	Galium	Rubiaceae	Wild plants	NA		NA	NA	NA
Gaudiniopsis	Gaudiniopsis sp.	Gaudiniopsis sp.	Gaudiniopsis sp.	Poaceae	Grasses	NA		Small-seeded	NA	NA
Geranium dissectum L.	Geranium dissectum	Geranium spp. (incl. dissectum)	Geranium	Geraniaceae	Wild plants	NA		NA	NA	NA
Geranium	Geranium sp.	Geranium spp. (incl. dissectum)	Geranium	Geraniaceae	Wild plants	NA		NA	NA	NA
Geranium sp.	Geranium sp.	Geranium spp. (incl. dissectum)	Geranium	Geraniaceae	Wild plants	NA		NA	NA	NA
Geum sp.	Geum sp.	Geum sp.	Geum	Rosaceae	Wild plants	NA		NA	NA	NA
Glaucium aleppicum	Glaucium aleppicum	Glaucium spp. (incl. aleppicum, corniculatum)	Glaucium	Papaveraceae	Wild plants	NA		NA	NA	NA
