canon	variant	genus	family	crop_type	grass_type	legume_type	wood
Stipagrostis obtusa	Stipagrostis obtusa	Stipagrostis	Poaceae	Wild	Small-seeded	NA	NA
Stipagrostis plumosa	Stipagrostis plumosa	Stipagrostis	Poaceae	Wild	Small-seeded	NA	NA
Taeniatherum caput-medusae	Taeniatherum caput-medusae	Taeniatherum	Poaceae	Wild	Large/medium-seeded	NA	NA
Taeniatherum caput-medusae	Taeniatherum caput-medusae (L.) Nevski	Taeniatherum	Poaceae	Wild	Large/medium-seeded	NA	NA
Taeniatherum rachis	cf. Taeniatherum rachis	Taeniatherum	Poaceae	Wild	NA	NA	NA
Taeniatherum sp.	cf. Taeniatherum sp.	Taeniatherum	Poaceae	Wild	NA	NA	NA
Taeniatherum sp.	Taeniatherum	Taeniatherum	Poaceae	Wild	Large/medium-seeded	NA	NA
Taeniatherum sp.	Taeniatherum caput-medusae/crinitum	Taeniatherum	Poaceae	Wild	Large/medium-seeded	NA	NA
Tragus sp.	Tragus	Tragus	Poaceae	Wild	Small-seeded	NA	NA
Triticum aestivocompactum	Triticum aestivocompactum	Triticum	Poaceae	Other crop	Large/medium-seeded	NA	NA
Triticum aestivum	Triticum aestivum	Triticum	Poaceae	Other crop	Large/medium-seeded	NA	NA
Triticum boeoticum	cf. Triticum boeoticum grains (1/2g)	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum boeoticum	Triticum boeoticum	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum boeoticum	Triticum boeoticum aegilopoides	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum boeoticum	Triticum boeoticum grains (1/2g)	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum boeoticum	Triticum boeoticum grains (1g)	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum boeoticum	Triticum boeoticum grains (2g)	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum boeoticum	Triticum boeoticum spikelet forks	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum boeoticum	Triticum boeoticum thaoudar	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum dicoccoides	Triticum dicoccoides	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum dicoccoides	Triticum dicoccoides grains	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum dicoccoides	Triticum dicoccoides spikelet forks	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum dicoccum	Triticum dicoccum	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum dicoccum	Triticum dicoccum glume bases	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum dicoccum	Triticum dicoccum glume bases dessicated or uncarbonized	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum dicoccum	Triticum dicoccum grains	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum dicoccum	Triticum dicoccum grains (1g)	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum dicoccum	Triticum dicoccum rachis internodes	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum dicoccum	Triticum dicoccum spikelet fork terminal	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum dicoccum	Triticum dicoccum spikelet forks	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum durum	Triticum durum	Triticum	Poaceae	Other crop	Large/medium-seeded	NA	NA
Triticum monococcum	cf. Triticum monococcum	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum monococcum	Triticum monococcum	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum monococcum	Triticum monococcum glume bases	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum monococcum	Triticum monococcum grains (1/2g)	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum monococcum	Triticum monococcum grains (1g)	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum monococcum	Triticum monococcum grains (2g)	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum monococcum	Triticum monococcum spikelet forks	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum parvicoccum	Triticum parvicoccum	Triticum	Poaceae	NA	Large/medium-seeded	NA	NA
Triticum sp.	cf. Triticum sp.	Triticum	Poaceae	NA		NA	NA
Triticum sp.	Triticum	Triticum	Poaceae	NA	Large/medium-seeded	NA	NA
Triticum sp.	Triticum aestivocompactum/durocompactum	Triticum	Poaceae	NA	Large/medium-seeded	NA	NA
Triticum sp.	Triticum aestivum/durum	Triticum	Poaceae	NA	Large/medium-seeded	NA	NA
Triticum sp.	Triticum boeoticum/Aegilops	Triticum	Poaceae	NA	Large/medium-seeded	NA	NA
Triticum sp.	Triticum boeoticum/diccocoides/monococcum/dicoccum	Triticum	Poaceae	Founder crop		NA	NA
Triticum sp.	Triticum boeoticum/dicoccoides	Triticum	Poaceae	Founder crop		NA	NA
Triticum sp.	Triticum boeoticum/monococcum spikelet forks	Triticum	Poaceae	NA		NA	NA
Triticum sp.	Triticum boeoticum/monococcum/dicoccum	Triticum	Poaceae	NA		NA	NA
Triticum sp.	Triticum boeoticum/Secale	Triticum	Poaceae	NA	Large/medium-seeded	NA	NA
Triticum sp.	Triticum boeoticum/Secale montanum/vavilovii	Triticum	Poaceae	NA	Large/medium-seeded	NA	NA
Triticum sp.	Triticum boeoticum/urartu	Triticum	Poaceae	NA	Large/medium-seeded	NA	NA
Triticum sp.	Triticum dicoccoides/dicoccum	Triticum	Poaceae	Founder crop		NA	NA
Triticum sp.	Triticum dicoccum/aestivum	Triticum	Poaceae	NA		NA	NA
Triticum sp.	Triticum dicoccum/dicoccoides grains	Triticum	Poaceae	NA		NA	NA
Triticum sp.	Triticum dicoccum/dicoccoides spikelet forks	Triticum	Poaceae	NA		NA	NA
Triticum sp.	Triticum dicoccum/durum	Triticum	Poaceae	NA	Large/medium-seeded	NA	NA
Triticum sp.	Triticum dicoccum/monococcum	Triticum	Poaceae	Founder crop		NA	NA
Triticum sp.	Triticum dicoccum/spelta	Triticum	Poaceae	NA	Large/medium-seeded	NA	NA
Triticum sp.	Triticum dicoccum/spelta grains	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum monococcum/boeoticum	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum sp.	Triticum monococcum/dicoccum glume bases	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum sp.	Triticum monococcum/dicoccum grains	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum sp.	Triticum monococcum/dicoccum spikelet forks	Triticum	Poaceae	Founder crop	NA	NA	NA
Triticum sp.	Triticum sp. 'speltoid' type	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum species free threshing wheat hexaploid grains	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum species free threshing wheat hexaploid rachis	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum species free threshing wheat tetraploid grains	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum species free threshing wheat tetraploid rachis	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum species indeterminate fr thr/gl wheat grains	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum species indeterminate fr thr/gl wheat rachis	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum species indeterminate free threshing wheat grains	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum species indeterminate free threshing wheat rachis	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum species indeterminate glume wheat glume bases	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum species indeterminate glume wheat grains	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum species indeterminate glume wheat spikelet forks	Triticum	Poaceae	NA	NA	NA	NA
Triticum sp.	Triticum spp.	Triticum	Poaceae	NA	NA	NA	NA
Triticum spelta	Triticum spelta	Triticum	Poaceae	NA	Large/medium-seeded	NA	NA
Triticum turgidum	Triticum turgidum	Triticum	Poaceae	Founder crop	Large/medium-seeded	NA	NA
Vulpia sp.	Vulpia	Vulpia	Poaceae	Wild	Small-seeded	NA	NA
NA	cf. Polygonaceae	NA	Polygonaceae	Wild	NA	NA	NA
NA	Polygonaceae	NA	Polygonaceae	Wild	NA	NA	NA
NA	Polygonaceae indet.	NA	Polygonaceae	Wild	NA	NA	NA
NA	Polygonum/Rumex	NA	Polygonaceae	Wild	NA	NA	NA
NA	Polygonum/Rumex sp.	NA	Polygonaceae	Wild	NA	NA	NA
Polygonum aviculare	Polygonum aviculare	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum aviculare	Polygonum aviculare L.	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum convolvulus	Polygonum convolvulus	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum convolvulus	Polygonum convolvulus L.	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum corrigioloides	Polygonum corregioloides type	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum corrigioloides	Polygonum corrigioloides	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum lapathifolium	Polygonum lapathifolium	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum lapathifolium	Polygonum lapathifolium type	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum persicaria	Polygonum persicaria	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum persicaria	Polygonum persicaria L.	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum persicaria	Polygonum persicaria L. uncarbonized	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum salicifolium	Polygonum salicifolium Brouss.	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum sp.	cf. Polygonum sp.	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum sp.	Polygonum	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum sp.	Polygonum aviculare/patulum	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum sp.	Polygonum sp.	Polygonum	Polygonaceae	Wild	NA	NA	NA
Polygonum venantianum	Polygonum venantianum	Polygonum	Polygonaceae	Wild	NA	NA	NA
Rumex acetocella	Rumex acetocella	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex acetocella	Rumex acetosella L.	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex conglomeratus	Rumex conglomeratus type	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex crispus	Rumex crispus type	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex dentatus	Rumex dentatus L.	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex maritimus	Rumex maritimus type	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex pulcher	Rumex pulcher	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex pulcher	Rumex pulcher L.	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex pulcher	Rumex pulcher type	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex simpliciflorus	Rumex simpliciflorus	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex sp.	cf. Rumex sp.	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex sp.	Rumex	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex sp.	Rumex sp.	Rumex	Polygonaceae	Wild	NA	NA	NA
Rumex spinosus	Emex spinosus L.	Rumex	Polygonaceae	Wild	NA	NA	NA
Portulaca	Portulaca	Portulaca	Portulacaceae	Wild	NA	NA	NA
Portulaca oleracea	Portulaca oleracea	Portulaca	Portulacaceae	Wild	NA	NA	NA
Portulaca oleracea	Portulaca oleracea L.	Portulaca	Portulacaceae	Wild	NA	NA	NA
Portulaca oleracea	Portulaca oleracea subsp. stellata	Portulaca	Portulacaceae	Wild	NA	NA	NA
Potamogeton sp.	Potamogeton	Potamogeton	Potamogetonaceae	Wild	NA	NA	NA
Anagallis arvensis	Anagallis arvensis	Anagallis	Primulaceae	Wild	NA	NA	NA
Anagallis arvensis	Anagallis arvensis L.	Anagallis	Primulaceae	Wild	NA	NA	NA
Anagallis sp.	Anagallis sp. L.	Anagallis	Primulaceae	Wild	NA	NA	NA
Androsace maxima	Androsace maxima	Androsace	Primulaceae	Wild	NA	NA	NA
Androsace maxima	Androsace maxima L.	Androsace	Primulaceae	Wild	NA	NA	NA
Androsace sp.	Androsace	Androsace	Primulaceae	Wild	NA	NA	NA
Androsace sp.	Androsace sp. L.	Androsace	Primulaceae	Wild	NA	NA	NA
Asterolinon linum-stellatum	Asterolinon linum-stellatum	Asterolinon	Primulaceae	Wild	NA	NA	NA
NA	Primulaceae	NA	Primulaceae	Wild	NA	NA	NA
Punica granatum	Punica granatum	Punica	Punicaceae	Wild	NA	NA	NA
Punica sp.	Punica	Punica	Punicaceae	Wild	NA	NA	NA
Punica sp.	Punica sp. L.	Punica	Punicaceae	Wild	NA	NA	NA
Adonis aestivalis	Adonis aestivalis	Adonis	Ranunculaceae	Wild	NA	NA	NA
Adonis annua	Adonis annua	Adonis	Ranunculaceae	Wild	NA	NA	NA
Adonis annua	Adonis annua type	Adonis	Ranunculaceae	Wild	NA	NA	NA
Adonis dentata	Adonis dentata	Adonis	Ranunculaceae	Wild	NA	NA	NA
Adonis dentata	Adonis dentata Del.	Adonis	Ranunculaceae	Wild	NA	NA	NA
Adonis dentata	Adonis dentata Del. uncarbonized	Adonis	Ranunculaceae	Wild	NA	NA	NA
Adonis flammea	Adonis flammea	Adonis	Ranunculaceae	Wild	NA	NA	NA
Adonis microcarpa	Adonis microcarpa DC.	Adonis	Ranunculaceae	Wild	NA	NA	NA
Adonis sp.	Adonis	Adonis	Ranunculaceae	Wild	NA	NA	NA
Adonis sp.	Adonis sp.	Adonis	Ranunculaceae	Wild	NA	NA	NA
Ceratocephalus sp.	Ceratocephalus sp.	Ceratocephalus	Ranunculaceae	Wild	NA	NA	NA
Clematis sp.	Clematis	Clematis	Ranunculaceae	Wild	NA	NA	NA
Ranunculus acris	Ranunculus acris	Ranunculus	Ranunculaceae	Wild	NA	NA	NA
Ranunculus arvensis L. uncarbonized	Ranunculus arvensis L. uncarbonized	Ranunculus	Ranunculaceae	Wild	NA	NA	NA
Ranunculus repens	Ranunculus repens L.	Ranunculus	Ranunculaceae	Wild	NA	NA	NA
Ranunculus repens	Ranunculus repens L. type uncarbonized	Ranunculus	Ranunculaceae	Wild	NA	NA	NA
Ranunculus sceleratus	Ranunculus sceleratus	Ranunculus	Ranunculaceae	Wild	NA	NA	NA
Ranunculus sp.	cf. Ranunculus sp.	Ranunculus	Ranunculaceae	Wild	NA	NA	NA
Ranunculus sp.	Ranunculus	Ranunculus	Ranunculaceae	Wild	NA	NA	NA
Ranunculus sp.	Ranunculus sp.	Ranunculus	Ranunculaceae	Wild	NA	NA	NA
Thalictrum lucidum	Thalictrum lucidum L.	Thalictrum	Ranunculaceae	Wild	NA	NA	NA
Thalictrum sp.	Thalictrum sp.	Thalictrum	Ranunculaceae	Wild	NA	NA	NA
Caylusea hexagyna	Caylusea hexagyna	Caylusea	Resedaceae	Wild	NA	NA	NA
Reseda decursiva	Reseda decursiva	Reseda	Resedaceae	Wild	NA	NA	NA
Reseda lutea	Reseda lutea	Reseda	Resedaceae	Wild	NA	NA	NA
Reseda luteola	Reseda luteola L.	Reseda	Resedaceae	Wild	NA	NA	NA
Reseda sp.	Reseda	Reseda	Resedaceae	Wild	NA	NA	NA
Reseda sp.	Reseda sp.	Reseda	Resedaceae	Wild	NA	NA	NA
Rhamnus sp.	Rhamnus sp., wood	Rhamnus	Rhamnaceae	Wild	NA	NA	TRUE
Ziziphus sp.	Ziziphus sp. wood	Ziziphus	Rhamnaceae	Wild	NA	NA	TRUE
Ziziphus spina-christi	Ziziphus spina-christi var. aucheri (Boiss.) M.Qaiser & S.Nazimuddin	Ziziphus	Rhamnaceae	Wild	NA	NA	NA
Amygdalus communis	Amygdalus communis L.	Amygdalus	Rosaceae	Wild	NA	NA	NA
Amygdalus sp.	Amygdalus	Amygdalus	Rosaceae	Wild	NA	NA	NA
Amygdalus sp.	Amygdalus sp.	Amygdalus	Rosaceae	Wild	NA	NA	NA
Amygdalus sp.	Amygdalus sp. wood	Amygdalus	Rosaceae	Wild	NA	NA	TRUE
Crataegus azarolus	Crataegus azarolus	Crataegus	Rosaceae	Wild	NA	NA	NA
Crataegus monogyna	Crataegus monogyna Jacq.	Crataegus	Rosaceae	Wild	NA	NA	NA
Crataegus sp.	Crataegus	Crataegus	Rosaceae	Wild	NA	NA	NA
Crataegus sp.	Crataegus sp. L.	Crataegus	Rosaceae	Wild	NA	NA	NA
Fragaria sp.	cf. Fragaria sp. (mineralized)	Fragaria	Rosaceae	Wild	NA	NA	NA
Geum sp.	Geum sp.	Geum	Rosaceae	Wild	NA	NA	NA
Malus sp.	Malus sp.	Malus	Rosaceae	Wild	NA	NA	NA
Malus sylvestris	Malus sylvestris Miller	Malus	Rosaceae	Wild	NA	NA	NA
NA	Amygdaloideae	NA	Rosaceae	Wild	NA	NA	NA
NA	Pyrus/Malus	NA	Rosaceae	Wild	NA	NA	NA
NA	Pyrus/Malus sp.	NA	Rosaceae	Wild	NA	NA	NA
NA	Rosaceae	NA	Rosaceae	Wild	NA	NA	NA
Potentilla sp.	Potentilla	Potentilla	Rosaceae	Wild	NA	NA	NA
Potentilla sp.	Potentilla sp. (uncarbonized)	Potentilla	Rosaceae	Wild	NA	NA	NA
Potentilla supina	Potentilla supina L.	Potentilla	Rosaceae	Wild	NA	NA	NA
Prunus dulcis	Prunus dulcis	Prunus	Rosaceae	Wild	NA	NA	NA
Prunus microcarpa	Prunus microcarpa C. A. Meyer	Prunus	Rosaceae	Wild	NA	NA	NA
Prunus sp.	Cerasus/Prunus	Prunus	Rosaceae	Wild	NA	NA	NA
Prunus sp.	cf. Prunus sp.	Prunus	Rosaceae	Wild	NA	NA	NA
Prunus sp.	Prunus	Prunus	Rosaceae	Wild	NA	NA	NA
Prunus sp.	Prunus divaricata/argentea	Prunus	Rosaceae	Wild	NA	NA	NA
Prunus sp.	Prunus dulcis/korshinskyi	Prunus	Rosaceae	Wild	NA	NA	NA
Prunus sp.	Prunus sp.	Prunus	Rosaceae	Wild	NA	NA	NA
Prunus sp.	Prunus webbii/argentea	Prunus	Rosaceae	Wild	NA	NA	NA
Prunus spinosa	Prunus spinosa L.	Prunus	Rosaceae	Wild	NA	NA	NA
Pyrus sp.	Pyrus	Pyrus	Rosaceae	Wild	NA	NA	NA
Pyrus sp.	Pyrus spp.	Pyrus	Rosaceae	Wild	NA	NA	NA
Rosa sp.	Rosa	Rosa	Rosaceae	Wild	NA	NA	NA
Rubus caesius	Rubus caesius L.	Rubus	Rosaceae	Wild	NA	NA	NA
Rubus fruticosus	Rubus fruticosus agg.	Rubus	Rosaceae	Wild	NA	NA	NA
Rubus idaeus	Rubus idaeus L.	Rubus	Rosaceae	Wild	NA	NA	NA
Rubus sanguineus	Rubus sanguineus	Rubus	Rosaceae	Wild	NA	NA	NA
Rubus sp.	Rubus	Rubus	Rosaceae	Wild	NA	NA	NA
Rubus sp.	Rubus sp.	Rubus	Rosaceae	Wild	NA	NA	NA
Sarcopoterium spinosum	Sarcopoterium spinosum (L.) Spach	Sarcopoterium	Rosaceae	Wild	NA	NA	NA
Asperula sp.	Asperula sp.	Asperula	Rubiaceae	Wild	NA	NA	NA
Crucianella sp.	Crucianella	Crucianella	Rubiaceae	Wild	NA	NA	NA
Galium aparine	Galium aparine L.	Galium	Rubiaceae	Wild	NA	NA	NA
Galium mollugo	Galium mollugo	Galium	Rubiaceae	Wild	NA	NA	NA
Galium sp.	Galium	Galium	Rubiaceae	Wild	NA	NA	NA
Galium sp.	Galium sp.	Galium	Rubiaceae	Wild	NA	NA	NA
Galium spurium	Galium spurium L.	Galium	Rubiaceae	Wild	NA	NA	NA
Galium tricornutum	Galium tricornutum	Galium	Rubiaceae	Wild	NA	NA	NA
Galium tricornutum	Galium tricornutum Dandy	Galium	Rubiaceae	Wild	NA	NA	NA
Galium verrucosum	Galium verrucosum Hudson	Galium	Rubiaceae	Wild	NA	NA	NA
NA	Asperula/Galium sect. Kolgyda	NA	Rubiaceae	Wild	NA	NA	NA
NA	Asperula/Galium sp.	NA	Rubiaceae	Wild	NA	NA	NA
NA	Rubiaceae	NA	Rubiaceae	Wild	NA	NA	NA
Sherardia arvensis	Sherardia arvensis	Sherardia	Rubiaceae	Wild	NA	NA	NA
Sherardia arvensis	Sherardia arvensis L.	Sherardia	Rubiaceae	Wild	NA	NA	NA
Sherardia sp.	Sherardia	Sherardia	Rubiaceae	Wild	NA	NA	NA
Ruppia sp.	Ruppia cirrhosa/maritima	Ruppia	Ruppiaceae	Wild	NA	NA	NA
NA	Populus/Salix wood	NA	Salicaceae	Wild	NA	NA	TRUE
Populus euphratica	Populus euphratica wood	Populus	Salicaceae	Wild	NA	NA	TRUE
Populus sp.	Populus sp. wood	Populus	Salicaceae	Wild	NA	NA	TRUE
NA	Scrophulariaceae	NA	Scrophulariaceae	Wild	NA	NA	NA
Scrophularia sp.	Scrophularia	Scrophularia	Scrophulariaceae	Wild	NA	NA	NA
Verbascum sp.	Verbascum	Verbascum	Scrophulariaceae	Wild	NA	NA	NA
Verbascum sp.	Verbascum sp.	Verbascum	Scrophulariaceae	Wild	NA	NA	NA
Datura sp.	Datura	Datura	Solanaceae	Wild	NA	NA	NA
Hyoscyamus muticus	Hyoscyamus muticus	Hyoscyamus	Solanaceae	Wild	NA	NA	NA
Hyoscyamus sp.	Hyoscyamus	Hyoscyamus	Solanaceae	Wild	NA	NA	NA
Hyoscyamus sp.	Hyoscyamus sp.	Hyoscyamus	Solanaceae	Wild	NA	NA	NA
Lycium sp.	Lycium	Lycium	Solanaceae	Wild	NA	NA	NA
NA	Solanaceae	NA	Solanaceae	Wild	NA	NA	NA
NA	Solanaceae indeterminate	NA	Solanaceae	Wild	NA	NA	NA
NA	Solanaceae indeterminate uncarbonized	NA	Solanaceae	Wild	NA	NA	NA
Physalis alkekengi	Physalis alkekengi L.	Physalis	Solanaceae	Wild	NA	NA	NA
Solanum dulcamara	Solanum dulcamara	Solanum	Solanaceae	Wild	NA	NA	NA
Solanum nigrum	Solanum nigrum	Solanum	Solanaceae	Wild	NA	NA	NA
Solanum nigrum	Solanum nigrum L.	Solanum	Solanaceae	Wild	NA	NA	NA
Solanum nigrum	Solanum nigrum L. uncarbonized	Solanum	Solanaceae	Wild	NA	NA	NA
Solanum sp.	Solanum	Solanum	Solanaceae	Wild	NA	NA	NA
Solanum sp.	Solanum sp.	Solanum	Solanaceae	Wild	NA	NA	NA
Tamarix aphylla	Tamarix aphylla	Tamarix	Tamaricaceae	Wild	NA	NA	NA
Tamarix aphylla	Tamarix aphylla wood	Tamarix	Tamaricaceae	Wild	NA	NA	TRUE
Tamarix nilotica	Tamarix nilotica	Tamarix	Tamaricaceae	Wild	NA	NA	NA
Tamarix nilotica	Tamarix nilotica wood	Tamarix	Tamaricaceae	Wild	NA	NA	TRUE
Tamarix sp.	Tamarix sp. wood	Tamarix	Tamaricaceae	Wild	NA	NA	TRUE
Thymelaea hirsuta	Thymelaea hirsuta	Thymelaea	Thymelaea	Wild	NA	NA	NA
Thymelaea hirsuta	Thymelaea hirsuta (L.) Endl.	Thymelaea	Thymelaea	Wild	NA	NA	NA
Thymelaea sp.	cf. Thymelaea sp.	Thymelaea	Thymelaea	Wild	NA	NA	NA
Thymelaea sp.	Thymelaea	Thymelaea	Thymelaea	Wild	NA	NA	NA
Thymelaea sp.	Thymelaea sp.	Thymelaea	Thymelaea	Wild	NA	NA	NA
Thymelaea sp.	Thymelaea sp. uncarbonized	Thymelaea	Thymelaea	Wild	NA	NA	NA
NA	Thymelaeaceae	NA	Thymelaeaceae	Wild	NA	NA	NA
Sparganium sp.	Sparganium sp.	Sparganium	Typhaceae	Wild	NA	NA	NA
Typha sp.	Typha	Typha	Typhaceae	Wild	NA	NA	NA
Urtica sp.	Urtica sp.	Urtica	Urticaceae	Wild	NA	NA	NA
Urtica urens	Urtica urens	Urtica	Urticaceae	Wild	NA	NA	NA
Verbena officinalis	Verbena officinalis	Verbena	Verbenaceae	Wild	NA	NA	NA
Verbena officinalis	Verbena officinalis L.	Verbena	Verbenaceae	Wild	NA	NA	NA
Verbena sp.	Verbena	Verbena	Verbenaceae	Wild	NA	NA	NA
Verbena sp.	Verbena sp.	Verbena	Verbenaceae	Wild	NA	NA	NA
Verbena sp.	Verbena sp. uncarbonized	Verbena	Verbenaceae	Wild	NA	NA	NA
Verbena sp.	Verbena type	Verbena	Verbenaceae	Wild	NA	NA	NA
Viola sp.	Viola	Viola	Violaceae	Wild	NA	NA	NA
Vitis sp.	Vitis	Vitis	Vitaceae	Other crop	NA	NA	NA
Vitis sp.	Vitis sp.	Vitis	Vitaceae	Other crop	NA	NA	NA
Vitis sp.	Vitis sp. uncarbonized	Vitis	Vitaceae	Other crop	NA	NA	NA
Vitis sylvestris	Vitis sylvestris	Vitis	Vitaceae	Other crop	NA	NA	NA
Vitis sylvestris	Vitis sylvestris Gmelin	Vitis	Vitaceae	Other crop	NA	NA	NA
Vitis vinifera	Vitis vinfera L. stalks	Vitis	Vitaceae	Other crop	NA	NA	NA
Vitis vinifera	Vitis vinifera	Vitis	Vitaceae	Other crop	NA	NA	NA
Vitis vinifera	Vitis vinifera L. pips	Vitis	Vitaceae	Other crop	NA	NA	NA
Balanites aegyptiaca	Balanites aegyptiaca Delile	Balanites	Zygophyllaceae	Wild	NA	NA	NA
Tribulus terrestris	Tribulus terrestris	Tribulus	Zygophyllaceae	Wild	NA	NA	NA
Zygophyllum fabago	Zygophyllum fabago	Zygophyllum	Zygophyllaceae	Wild	NA	NA	NA
Zygophyllum sp.	Zygophyllum album/coccineum	Zygophyllum	Zygophyllaceae	Wild	NA	NA	NA
Zygophyllum sp.	Zygophyllum sp.	Zygophyllum	Zygophyllaceae	Wild	NA	NA	NA
